THEME_ID,THEME_NAME,PARENT_THEME,FIRST_YEAR,LATEST_YEAR,LIFESPAN_YEARS,TOTAL_SETS,AVG_PARTS,STATUS
558,Monster Fighters,,2012,2012,1,14,392.1,Retired
520,RCX,Mindstorms,1998,2005,8,14,395.9,Retired
272,SpongeBob SquarePants,,2006,2012,7,14,313.4,Retired
129,Blacktron II,Space,1991,1993,3,14,103.9,Retired
253,Skylines,Architecture,2016,2022,7,14,520.6,Declining
647,Castle,Duplo,2004,2014,11,13,86.5,Retired
407,Island Xtreme Stunts,,2002,2003,2,13,81.1,Retired
787,Editions,,2026,2026,1,13,333.8,Active
262,EV3,Mindstorms,2013,2013,1,13,49.9,Retired
302,Agents,,2008,2009,2,13,434.1,Retired
190,Dragon Knights,Castle,1993,1998,6,13,112.1,Retired
664,Toolo,Duplo,1992,1996,5,13,29.4,Retired
